EmployeeID,EmployeeName,Department,HireDate
71,Rania Qasem,Sales,2021-12-01
72,Aya Hammad,HR,2022-08-02
73,Hassan Shami,HR,2018-12-15
74,Hassan Darwish,HR,2023-08-06
75,Majed Hammad,Sales,2018-03-11
76,Huda Darwish,IT,2018-08-05
77,Majed Omari,Management,2015-09-09
78,Tariq Najjar,IT,2015-04-26
79,Lina Omari,Sales,2021-08-15
80,Ahmad Rabie,Support,2015-07-04
81,Ali Haddad,IT,2016-06-09
82,Rania Al-Momani,Support,2024-05-21
83,Hassan Al-Smadi,Sales,2019-02-09
84,Salma Masri,Sales,2018-11-29
85,Khaled Shami,HR,2024-01-29
86,Noor Al-Momani,HR,2023-04-28
87,Aya Al-Smadi,Sales,2021-07-19
88,Yousef Masri,Management,2015-04-21
89,Farah Barakat,Sales,2023-08-01
90,Rami Barakat,IT,2022-01-04
91,Omar Al-Momani,HR,2018-10-29
92,Rania Ayoub,HR,2019-04-08
93,Tariq Hammad,Management,2016-02-03
94,Sara Qasem,Sales,2019-10-20
95,Salma Barakat,HR,2018-11-14
96,Ahmad Najjar,Sales,2019-01-03
97,Farah Al-Smadi,IT,2019-08-15
98,Noor Saleh,IT,2018-12-09
99,Huda Omari,IT,2015-08-20
100,Zain Najjar,Sales,2022-06-01
101,Salma Najjar,HR,2017-09-27
102,Omar Khoury,Sales,2017-10-11
103,Noor Najjar,Sales,2017-08-19
104,Hassan Shami,IT,2022-04-08
105,Rania Al-Momani,Support,2018-07-02
106,Yousef Omari,HR,2021-08-24
107,Tariq Omari,Sales,2015-12-14
108,Zain Darwish,Sales,2022-09-19
109,Tariq Khoury,HR,2015-09-26
110,Mona Darwish,Support,2018-06-02
111,Zain Omari,Sales,2016-04-13
112,Zain Haddad,IT,2018-10-14
113,Majed Masri,Support,2016-11-26
114,Sara Haddad,IT,2015-03-22
115,Yousef Khoury,Support,2021-01-14
116,Ahmad Ayoub,HR,2018-08-28
117,Farah Najjar,HR,2015-06-03
118,Sara Rabie,IT,2020-03-02
119,Majed Darwish,Sales,2022-05-18
120,Salma Al-Momani,HR,2019-09-27
121,Omar Saleh,IT,2021-05-15
122,Rami Saleh,IT,2020-10-09
123,Mona Qasem,Sales,2019-09-22
124,Tariq Omari,HR,2017-12-28
125,Majed Darwish,IT,2015-03-25
126,Huda Barakat,Sales,2022-10-21
127,Mona Ayoub,Support,2020-04-07
128,Salma Khoury,HR,2021-08-05
129,Rania Shami,Sales,2015-04-02
130,Ali Ayoub,Management,2018-07-20
131,Hassan Ayoub,IT,2019-03-28
132,Majed Khoury,IT,2021-05-25
133,Ahmad Qasem,Sales,2019-05-18
134,Tariq Barakat,Sales,2018-08-13
135,Omar Darwish,Management,2021-06-03
136,Omar Haddad,Sales,2016-02-05
137,Rami Khoury,HR,2024-01-24
138,Ahmad Al-Momani,Sales,2020-06-23
139,Hassan Saleh,Sales,2016-02-14
140,Mona Shami,Sales,2022-09-30
141,Khaled Al-Smadi,Support,2022-07-28
142,Lina Darwish,Management,2017-04-23
143,Rami Shami,Sales,2018-10-08
144,Sara Masri,Sales,2020-07-27
145,Noor Masri,Sales,2020-08-21
146,Ahmad Masri,Support,2024-02-06
147,Zain Ayoub,Support,2023-07-31
148,Rami Hammad,HR,2022-06-26
149,Ahmad Omari,Support,2018-10-22
150,Lina Najjar,Support,2016-11-13
151,Farah Omari,Sales,2021-11-23
152,Majed Al-Smadi,Management,2018-05-11
153,Rami Haddad,Sales,2019-01-28
154,Majed Al-Smadi,Sales,2019-11-21
155,Huda Najjar,IT,2017-04-06
156,Tariq Rabie,Support,2020-07-28
157,Huda Najjar,Support,2022-02-15
158,Mona Al-Smadi,Support,2024-07-02
159,Rami Najjar,HR,2023-10-30
160,Zain Hammad,Sales,2015-11-05
161,Noor Al-Smadi,HR,2024-06-04
162,Hassan Khoury,IT,2024-07-14
163,Farah Hammad,Support,2021-01-03
164,Sara Qasem,Support,2017-05-26
165,Yousef Darwish,Sales,2018-03-23
166,Mona Darwish,HR,2017-12-22
167,Lina Masri,Support,2015-07-14
168,Mona Qasem,Sales,2018-05-02
169,Aya Ayoub,Support,2021-06-07
170,Aya Ayoub,Management,2019-07-05
171,Hassan Khoury,Support,2024-01-09
172,Noor Al-Momani,Management,2017-07-14
173,Rania Masri,Sales,2022-01-02
174,Noor Ayoub,Sales,2023-05-01
175,Huda Al-Smadi,Sales,2016-01-12
176,Huda Qasem,Support,2023-01-18
177,Hassan Najjar,Sales,2024-06-19
178,Ahmad Saleh,Sales,2021-06-26
179,Aya Rabie,Management,2016-01-24
180,Mona Al-Momani,HR,2021-08-21
181,Yousef Haddad,IT,2018-10-11
182,Farah Barakat,Sales,2018-01-24
183,Yousef Darwish,Sales,2015-10-03
184,Rania Masri,Sales,2021-05-09
185,Farah Ayoub,IT,2023-12-26
186,Rania Omari,Management,2020-12-15
187,Rania Omari,Support,2020-04-30
188,Lina Saleh,Sales,2019-10-16
189,Tariq Rabie,Support,2017-05-09
190,Sara Al-Momani,Sales,2018-11-23
191,Huda Rabie,Sales,2023-12-03
192,Omar Shami,IT,2015-11-11
193,Noor Khoury,IT,2022-04-22
194,Noor Haddad,Sales,2024-03-28
195,Tariq Rabie,Sales,2018-05-21
196,Farah Darwish,Management,2020-08-29
197,Aya Haddad,Sales,2024-01-07
198,Hassan Al-Smadi,Sales,2018-05-13
199,Lina Barakat,Sales,2019-11-09
200,Huda Ayoub,Sales,2022-06-10
201,Huda Omari,Sales,2021-01-20
202,Khaled Khoury,HR,2018-07-07
203,Huda Barakat,Sales,2017-03-30
204,Huda Al-Momani,Support,2019-08-25
205,Zain Omari,IT,2019-07-06
206,Lina Al-Momani,Support,2017-10-26
207,Omar Darwish,HR,2022-01-03
208,Ahmad Darwish,HR,2020-10-11
209,Zain Al-Smadi,Sales,2020-01-31
210,Yousef Al-Momani,HR,2022-07-13
211,Ali Darwish,Support,2023-07-25
212,Farah Masri,Management,2021-02-20
213,Ali Shami,Support,2017-01-09
214,Lina Rabie,Management,2015-03-18
215,Rami Al-Smadi,HR,2022-01-15
216,Sara Khoury,Sales,2022-11-20
217,Omar Darwish,Support,2020-10-15
218,Lina Darwish,Management,2017-02-03
219,Lina Rabie,HR,2021-06-20
220,Yousef Masri,Sales,2020-08-06
221,Yousef Haddad,IT,2017-05-22
222,Noor Al-Smadi,Sales,2022-05-30
223,Sara Haddad,Sales,2024-03-28
224,Rami Masri,Support,2023-04-29
225,Noor Najjar,Sales,2020-03-29
226,Mona Ayoub,HR,2018-01-02
227,Farah Darwish,Sales,2022-02-25
228,Khaled Qasem,HR,2020-12-22
229,Majed Al-Momani,Sales,2024-01-27
230,Lina Ayoub,Sales,2021-11-21
231,Majed Darwish,Sales,2024-07-24
232,Omar Qasem,Sales,2023-08-17
233,Yousef Omari,Sales,2019-11-12
234,Yousef Khoury,Sales,2021-05-07
235,Mona Rabie,Support,2023-02-24
236,Rania Al-Smadi,Sales,2022-01-11
237,Lina Rabie,Support,2015-09-03
238,Yousef Rabie,Sales,2020-11-09
239,Farah Ayoub,HR,2017-04-01
240,Ahmad Najjar,Management,2019-02-01
241,Majed Haddad,Support,2020-03-09
242,Tariq Hammad,Sales,2016-08-28
243,Lina Haddad,Sales,2017-09-11
244,Noor Saleh,Management,2016-09-08
245,Zain Barakat,Sales,2023-05-16
246,Farah Barakat,Sales,2022-09-08
247,Zain Al-Momani,Sales,2023-08-02
248,Aya Al-Momani,Sales,2018-05-14
249,Tariq Al-Momani,Sales,2024-06-19
250,Farah Haddad,HR,2019-11-19
251,Ahmad Darwish,Sales,2019-08-08
252,Noor Omari,IT,2018-07-29
253,Hassan Qasem,Sales,2024-04-23
254,Ali Al-Momani,Sales,2015-09-21
255,Aya Shami,Management,2022-02-09
256,Lina Saleh,Sales,2017-04-13
257,Hassan Shami,HR,2024-06-27
258,Hassan Hammad,Support,2019-08-17
259,Tariq Barakat,Sales,2017-12-29
260,Rania Saleh,Management,2024-03-27
261,Hassan Ayoub,Sales,2018-03-21
262,Zain Barakat,HR,2022-03-31
263,Sara Rabie,Sales,2016-10-19
264,Ahmad Hammad,HR,2017-11-16
265,Noor Haddad,Sales,2022-09-14
266,Omar Hammad,Support,2021-09-28
267,Ahmad Hammad,HR,2017-08-25
268,Lina Saleh,Management,2019-07-21
269,Tariq Qasem,Management,2017-09-03
270,Sara Al-Momani,HR,2016-04-10
271,Huda Saleh,HR,2016-09-06
272,Salma Omari,Sales,2017-02-25
273,Majed Al-Momani,Sales,2015-04-24
274,Mona Al-Momani,Sales,2017-10-02
275,Noor Barakat,Sales,2023-12-09
276,Aya Barakat,Sales,2024-04-11
277,Salma Al-Momani,Support,2018-06-25
278,Khaled Ayoub,Sales,2020-03-16
279,Zain Omari,IT,2020-06-11
280,Ahmad Khoury,Sales,2021-04-12
281,Majed Masri,Sales,2019-11-22
282,Rami Darwish,Support,2019-09-25
283,Salma Najjar,HR,2022-04-03
284,Ahmad Hammad,IT,2015-06-01
285,Salma Shami,IT,2017-04-07
286,Farah Khoury,Sales,2016-10-14
287,Huda Darwish,Support,2018-01-22
288,Tariq Al-Momani,Sales,2016-07-12
289,Lina Khoury,Sales,2015-04-30
290,Ahmad Shami,Support,2017-11-24
291,Khaled Hammad,Sales,2023-11-09
292,Huda Al-Smadi,Sales,2024-01-05
293,Lina Omari,Management,2018-02-11
294,Ali Ayoub,Management,2022-05-21
295,Sara Shami,Sales,2021-03-05
296,Omar Haddad,Sales,2016-12-21
297,Salma Masri,Sales,2022-03-24
298,Aya Haddad,Sales,2024-07-23
299,Hassan Masri,Management,2015-06-22
300,Lina Darwish,Sales,2023-02-07
