SaleID,CustomerID,ProductID,EmployeeID,Quantity,SaleDate,Price_x,TotalAmount,CustomerName,Age,Country,JoinDate,ProductName,Category,Price_y,EmployeeName,Department,HireDate,SaleMonth
13,79,745,141,2,2023-07-12,15.78,31.56,Aya Al-Momani,35,Jordan,2023-05-20,History Book_745,Books,15.78,Khaled Al-Smadi,Support,2022-07-28,7
14,579,421,49,3,2023-09-06,18.9,56.7,Rami Saleh,20,Saudi Arabia,2022-05-03,Burger_421,Food,18.9,Tariq Haddad,IT,2023-07-27,9
15,1879,553,115,2,2022-02-21,25.92,51.84,Huda Al-Momani,18,Jordan,2020-08-06,Pizza_553,Food,25.92,Yousef Khoury,Support,2021-01-14,2
16,413,767,229,1,2023-07-08,26.36,26.36,Huda Saleh,19,Jordan,2021-08-26,Children Book_767,Books,26.36,Majed Al-Momani,Sales,2024-01-27,7
17,546,793,252,3,2022-01-08,59.57,178.71,Lina Ayoub,27,Egypt,2021-07-18,Novel_793,Books,59.57,Noor Omari,IT,2018-07-29,1
18,1633,126,75,3,2022-11-19,387.07,1161.21,Farah Haddad,28,Saudi Arabia,2020-03-16,Laptop_126,Electronics,387.07,Majed Hammad,Sales,2018-03-11,11
19,169,8,191,3,2022-11-05,1645.3,4935.9,Farah Haddad,32,Saudi Arabia,2023-08-09,Laptop_8,Electronics,1645.3,Huda Rabie,Sales,2023-12-03,11
20,681,472,199,1,2023-06-26,25.76,25.76,Yousef Haddad,42,Jordan,2022-03-24,Pasta_472,Food,25.76,Lina Barakat,Sales,2019-11-09,6
21,1687,468,163,2,2021-04-03,39.43,78.86,Khaled Hammad,30,Jordan,2022-07-20,Chocolate_468,Food,39.43,Farah Hammad,Support,2021-01-03,4
22,583,880,139,1,2022-02-11,787.81,787.81,Salma Barakat,41,Egypt,2021-01-19,Table_880,Furniture,787.81,Hassan Saleh,Sales,2016-02-14,2
23,515,862,49,4,2023-08-24,133.19,532.76,Huda Rabie,29,Saudi Arabia,2022-07-27,Sofa_862,Furniture,133.19,Tariq Haddad,IT,2023-07-27,8
24,1338,852,115,4,2023-05-10,580.55,2322.2,Ahmad Rabie,31,Egypt,2020-09-01,Bed_852,Furniture,580.55,Yousef Khoury,Support,2021-01-14,5
25,32,510,168,4,2023-01-12,26.41,105.64,Sara Al-Smadi,53,Saudi Arabia,2023-07-29,Juice_510,Food,26.41,Mona Qasem,Sales,2018-05-02,1
26,287,402,277,2,2023-05-13,20.99,41.98,Majed Khoury,33,Jordan,2023-04-21,Pasta_402,Food,20.99,Salma Al-Momani,Support,2018-06-25,5
27,594,836,47,3,2021-05-24,181.6,544.8,Rania Shami,38,Egypt,2021-09-29,Desk_836,Furniture,181.6,Ali Haddad,Support,2019-05-13,5
28,1067,176,259,2,2021-08-30,234.91,469.82,Salma Omari,22,Jordan,2022-09-13,Tablet_176,Electronics,234.91,Tariq Barakat,Sales,2017-12-29,8
29,1927,740,216,4,2021-04-25,28.23,112.92,Sara Khoury,18,Saudi Arabia,2020-04-16,Children Book_740,Books,28.23,Sara Khoury,Sales,2022-11-20,4
30,617,966,230,2,2022-08-08,602.64,1205.28,Ahmad Darwish,36,Jordan,2022-03-23,Sofa_966,Furniture,602.64,Lina Ayoub,Sales,2021-11-21,8
31,1025,835,127,3,2023-01-23,997.31,2991.93,Huda Khoury,52,Egypt,2023-03-11,Desk_835,Furniture,997.31,Mona Ayoub,Support,2020-04-07,1
32,1597,914,225,3,2022-05-28,703.13,2109.39,Salma Darwish,41,Egypt,2022-06-12,Table_914,Furniture,703.13,Noor Najjar,Sales,2020-03-29,5
33,270,367,150,2,2023-08-14,153.12,306.24,Zain Al-Smadi,36,Jordan,2021-10-22,T-Shirt_367,Clothing,153.12,Lina Najjar,Support,2016-11-13,8
34,1204,488,287,4,2021-05-04,10.14,40.56,Ahmad Rabie,40,Egypt,2020-09-19,Pizza_488,Food,10.14,Huda Darwish,Support,2018-01-22,5
35,1760,18,46,3,2022-06-19,888.81,2666.43,Rania Omari,48,Saudi Arabia,2020-10-02,Laptop_18,Electronics,888.81,Hassan Darwish,Sales,2023-01-10,6
36,518,56,14,4,2022-11-12,1132.77,4531.08,Ali Haddad,25,Jordan,2023-06-30,Monitor_56,Electronics,1132.77,Sara Barakat,Sales,2020-08-29,11
37,1127,919,121,3,2023-04-29,138.99,416.97,Khaled Al-Momani,38,Saudi Arabia,2023-10-07,Bed_919,Furniture,138.99,Omar Saleh,IT,2021-05-15,4
38,1034,35,191,4,2022-08-18,612.57,2450.28,Farah Qasem,41,Egypt,2023-11-02,Smartphone_35,Electronics,612.57,Huda Rabie,Sales,2023-12-03,8
39,583,902,166,2,2023-08-31,664.47,1328.94,Salma Barakat,41,Egypt,2021-01-19,Sofa_902,Furniture,664.47,Mona Darwish,HR,2017-12-22,8
40,1114,630,117,1,2023-03-05,16.03,16.03,Ahmad Barakat,39,Saudi Arabia,2020-03-14,Novel_630,Books,16.03,Farah Najjar,HR,2015-06-03,3
41,226,794,124,1,2023-08-12,16.05,16.05,Rania Haddad,45,Saudi Arabia,2020-10-18,Novel_794,Books,16.05,Tariq Omari,HR,2017-12-28,8
42,670,766,54,4,2022-06-22,43.34,173.36,Noor Barakat,45,Jordan,2022-05-17,Science Book_766,Books,43.34,Khaled Al-Momani,HR,2022-05-27,6
43,1764,725,271,3,2021-09-15,42.55,127.65,Mona Najjar,18,Egypt,2023-03-18,Science Book_725,Books,42.55,Huda Saleh,HR,2016-09-06,9
44,917,573,199,2,2022-05-24,45.32,90.64,Ahmad Qasem,41,Jordan,2022-05-11,Chocolate_573,Food,45.32,Lina Barakat,Sales,2019-11-09,5
45,126,600,216,3,2023-06-25,37.96,113.88,Ahmad Barakat,56,Jordan,2020-09-20,Salad_600,Food,37.96,Sara Khoury,Sales,2022-11-20,6
46,956,783,113,1,2021-04-03,31.93,31.93,Lina Qasem,46,Jordan,2020-01-06,Biography_783,Books,31.93,Majed Masri,Support,2016-11-26,4
47,1233,347,16,1,2021-09-01,43.47,43.47,Huda Barakat,34,Jordan,2023-02-07,Scarf_347,Clothing,43.47,Sara Saleh,Sales,2021-01-30,9
48,1121,32,216,2,2022-09-07,1098.2,2196.4,Sara Qasem,46,Jordan,2023-07-29,Smartphone_32,Electronics,1098.2,Sara Khoury,Sales,2022-11-20,9
49,74,908,135,4,2021-05-06,556.79,2227.16,Rami Qasem,50,Egypt,2020-11-18,Wardrobe_908,Furniture,556.79,Omar Darwish,Management,2021-06-03,5
50,1651,133,43,2,2023-03-03,251.43,502.86,Aya Saleh,40,Saudi Arabia,2022-03-23,Smartphone_133,Electronics,251.43,Hassan Haddad,Support,2019-10-31,3
51,1215,576,252,1,2023-04-07,42.58,42.58,Lina Saleh,32,Saudi Arabia,2023-11-19,Pizza_576,Food,42.58,Noor Omari,IT,2018-07-29,4
52,1706,199,284,2,2021-11-17,1587.79,3175.58,Sara Al-Momani,32,Saudi Arabia,2023-04-18,Monitor_199,Electronics,1587.79,Ahmad Hammad,IT,2015-06-01,11
53,1843,256,98,1,2021-12-04,170.33,170.33,Aya Rabie,29,Jordan,2022-05-28,T-Shirt_256,Clothing,170.33,Noor Saleh,IT,2018-12-09,12
54,1984,342,60,3,2023-05-03,43.79,131.37,Hassan Darwish,43,Jordan,2023-10-03,Jeans_342,Clothing,43.79,Ali Hammad,Sales,2020-05-03,5
55,1740,667,230,1,2022-08-22,51.45,51.45,Lina Khoury,52,Saudi Arabia,2022-04-29,Novel_667,Books,51.45,Lina Ayoub,Sales,2021-11-21,8
56,56,975,131,1,2023-01-25,978.78,978.78,Ahmad Saleh,44,Jordan,2020-08-11,Sofa_975,Furniture,978.78,Hassan Ayoub,IT,2019-03-28,1
57,720,231,159,2,2022-02-04,181.76,363.52,Huda Rabie,34,Saudi Arabia,2020-02-22,Jacket_231,Clothing,181.76,Rami Najjar,HR,2023-10-30,2
58,553,301,84,2,2023-04-06,20.04,40.08,Aya Khoury,46,Jordan,2022-04-02,Dress_301,Clothing,20.04,Salma Masri,Sales,2018-11-29,4
59,32,547,208,2,2023-02-06,32.64,65.28,Sara Al-Smadi,53,Saudi Arabia,2023-07-29,Burger_547,Food,32.64,Ahmad Darwish,HR,2020-10-11,2
60,1551,26,174,3,2023-02-01,1677.93,5033.79,Lina Qasem,33,Jordan,2022-08-02,Monitor_26,Electronics,1677.93,Noor Ayoub,Sales,2023-05-01,2
61,574,535,288,2,2021-08-30,19.81,39.62,Sara Barakat,32,Jordan,2021-09-07,Pasta_535,Food,19.81,Tariq Al-Momani,Sales,2016-07-12,8
62,667,653,81,3,2023-08-16,32.81,98.43,Ahmad Ayoub,32,Jordan,2023-12-23,Novel_653,Books,32.81,Ali Haddad,IT,2016-06-09,8
63,284,474,18,4,2022-03-10,36.05,144.2,Zain Hammad,22,Saudi Arabia,2021-12-31,Pizza_474,Food,36.05,Sara Al-Momani,HR,2024-01-29,3
64,1745,387,196,2,2021-08-12,68.84,137.68,Lina Najjar,25,Saudi Arabia,2023-10-14,Scarf_387,Clothing,68.84,Farah Darwish,Management,2020-08-29,8
65,1856,285,291,2,2021-05-28,96.87,193.74,Mona Al-Smadi,28,Jordan,2021-04-21,Scarf_285,Clothing,96.87,Khaled Hammad,Sales,2023-11-09,5
66,1518,450,279,4,2021-04-20,49.47,197.88,Khaled Shami,41,Jordan,2023-02-07,Juice_450,Food,49.47,Zain Omari,IT,2020-06-11,4
67,187,320,254,4,2021-06-29,107.89,431.56,Aya Rabie,39,Egypt,2021-01-03,Jeans_320,Clothing,107.89,Ali Al-Momani,Sales,2015-09-21,6
68,498,156,142,4,2021-08-08,727.26,2909.04,Yousef Khoury,33,UAE,2022-06-10,Printer_156,Electronics,727.26,Lina Darwish,Management,2017-04-23,8
69,1466,471,165,1,2023-09-21,39.82,39.82,Salma Haddad,40,Jordan,2021-06-13,Pasta_471,Food,39.82,Yousef Darwish,Sales,2018-03-23,9
70,130,420,5,1,2021-10-09,41.0,41.0,Ahmad Darwish,29,Jordan,2020-03-28,Juice_420,Food,41.0,Ali Al-Momani,Sales,2023-08-10,10
71,639,113,251,1,2022-03-27,1605.75,1605.75,Zain Masri,22,Jordan,2022-03-02,Headphones_113,Electronics,1605.75,Ahmad Darwish,Sales,2019-08-08,3
72,1316,902,150,4,2022-02-23,664.47,2657.88,Mona Saleh,21,Jordan,2023-06-24,Sofa_902,Furniture,664.47,Lina Najjar,Support,2016-11-13,2
73,114,651,28,3,2021-09-18,50.23,150.69,Khaled Al-Momani,59,Egypt,2023-07-14,Children Book_651,Books,50.23,Noor Saleh,Sales,2018-07-12,9
74,1223,422,237,2,2023-06-03,45.44,90.88,Noor Qasem,41,Saudi Arabia,2020-10-09,Juice_422,Food,45.44,Lina Rabie,Support,2015-09-03,6
75,13,886,132,1,2022-08-27,933.11,933.11,Khaled Shami,37,UAE,2022-05-09,Table_886,Furniture,933.11,Majed Khoury,IT,2021-05-25,8
76,1295,930,285,4,2021-02-27,763.97,3055.88,Noor Darwish,35,Saudi Arabia,2021-04-04,Table_930,Furniture,763.97,Salma Shami,IT,2017-04-07,2
77,1625,721,293,2,2022-05-18,17.92,35.84,Sara Masri,53,Saudi Arabia,2022-11-04,Science Book_721,Books,17.92,Lina Omari,Management,2018-02-11,5
78,1239,835,163,1,2022-07-01,997.31,997.31,Ahmad Qasem,40,Saudi Arabia,2024-01-03,Desk_835,Furniture,997.31,Farah Hammad,Support,2021-01-03,7
79,444,876,227,4,2022-01-19,710.56,2842.24,Salma Omari,34,Egypt,2020-04-01,Desk_876,Furniture,710.56,Farah Darwish,Sales,2022-02-25,1
80,1814,942,130,2,2022-12-18,200.0,400.0,Ali Khoury,43,Saudi Arabia,2023-11-02,Table_942,Furniture,200.0,Ali Ayoub,Management,2018-07-20,12
81,1536,994,58,1,2023-08-30,160.31,160.31,Huda Al-Smadi,19,UAE,2023-08-15,Desk_994,Furniture,160.31,Noor Haddad,HR,2021-06-01,8
82,447,598,146,1,2021-04-26,45.72,45.72,Ahmad Qasem,38,Jordan,2022-08-10,Salad_598,Food,45.72,Ahmad Masri,Support,2024-02-06,4
83,986,285,122,1,2021-11-21,96.87,96.87,Lina Khoury,23,Jordan,2022-05-22,Scarf_285,Clothing,96.87,Rami Saleh,IT,2020-10-09,11
84,993,572,192,1,2022-07-13,45.14,45.14,Tariq Rabie,32,Jordan,2023-08-18,Salad_572,Food,45.14,Omar Shami,IT,2015-11-11,7
85,715,54,245,1,2022-03-10,1596.63,1596.63,Rania Haddad,34,Saudi Arabia,2023-09-14,Monitor_54,Electronics,1596.63,Zain Barakat,Sales,2023-05-16,3
86,74,605,103,4,2022-05-02,24.36,97.44,Rami Qasem,50,Egypt,2020-11-18,Biography_605,Books,24.36,Noor Najjar,Sales,2017-08-19,5
87,537,325,250,2,2022-12-01,185.94,371.88,Mona Shami,26,UAE,2021-06-24,T-Shirt_325,Clothing,185.94,Farah Haddad,HR,2019-11-19,12
88,101,970,22,1,2021-09-10,682.88,682.88,Sara Darwish,20,Saudi Arabia,2020-07-12,Table_970,Furniture,682.88,Huda Ayoub,HR,2023-07-27,9
89,176,458,60,2,2023-09-14,32.52,65.04,Majed Barakat,43,Saudi Arabia,2023-12-31,Salad_458,Food,32.52,Ali Hammad,Sales,2020-05-03,9
90,427,885,238,1,2021-10-12,248.51,248.51,Omar Shami,25,Jordan,2020-08-24,Wardrobe_885,Furniture,248.51,Yousef Rabie,Sales,2020-11-09,10
91,1141,265,134,4,2023-06-20,32.76,131.04,Huda Najjar,32,Jordan,2022-01-14,Scarf_265,Clothing,32.76,Tariq Barakat,Sales,2018-08-13,6
92,1190,382,262,4,2023-03-15,30.82,123.28,Rania Al-Momani,25,UAE,2022-10-18,Jeans_382,Clothing,30.82,Zain Barakat,HR,2022-03-31,3
93,41,213,42,2,2023-08-18,162.05,324.1,Rami Omari,42,Jordan,2021-04-29,Dress_213,Clothing,162.05,Majed Haddad,IT,2020-07-06,8
94,429,333,74,1,2021-05-29,27.41,27.41,Ahmad Barakat,45,Egypt,2022-03-25,Shoes_333,Clothing,27.41,Hassan Darwish,HR,2023-08-06,5
95,344,10,297,4,2022-01-07,1628.1,6512.4,Aya Qasem,29,Saudi Arabia,2022-10-06,Printer_10,Electronics,1628.1,Salma Masri,Sales,2022-03-24,1
96,1448,358,22,1,2022-05-02,82.01,82.01,Khaled Ayoub,40,Saudi Arabia,2023-08-17,Jacket_358,Clothing,82.01,Huda Ayoub,HR,2023-07-27,5
97,366,203,220,1,2023-01-03,48.55,48.55,Salma Masri,30,Qatar,2020-12-14,Jacket_203,Clothing,48.55,Yousef Masri,Sales,2020-08-06,1
98,1144,708,79,3,2022-01-12,70.21,210.63,Farah Najjar,36,Saudi Arabia,2020-08-21,History Book_708,Books,70.21,Lina Omari,Sales,2021-08-15,1
99,609,58,235,4,2023-04-22,1413.39,5653.56,Farah Masri,18,Egypt,2020-04-13,Laptop_58,Electronics,1413.39,Mona Rabie,Support,2023-02-24,4
100,657,494,157,2,2021-11-12,6.98,13.96,Hassan Barakat,35,Saudi Arabia,2020-09-27,Salad_494,Food,6.98,Huda Najjar,Support,2022-02-15,11
101,728,510,114,2,2021-01-22,26.41,52.82,Khaled Ayoub,38,Egypt,2020-03-13,Juice_510,Food,26.41,Sara Haddad,IT,2015-03-22,1
102,229,768,290,1,2022-10-23,43.22,43.22,Noor Rabie,27,Jordan,2022-10-05,History Book_768,Books,43.22,Ahmad Shami,Support,2017-11-24,10
103,825,223,96,1,2023-09-18,116.54,116.54,Omar Al-Momani,30,Jordan,2022-09-04,Scarf_223,Clothing,116.54,Ahmad Najjar,Sales,2019-01-03,9
104,1154,369,130,1,2023-07-16,176.38,176.38,Aya Rabie,21,Saudi Arabia,2022-12-05,Jeans_369,Clothing,176.38,Ali Ayoub,Management,2018-07-20,7
105,1376,692,109,3,2022-09-13,17.68,53.04,Noor Saleh,32,Jordan,2020-11-22,Science Book_692,Books,17.68,Tariq Khoury,HR,2015-09-26,9
106,889,418,75,1,2021-02-05,14.3,14.3,Lina Haddad,40,Jordan,2021-06-07,Burger_418,Food,14.3,Majed Hammad,Sales,2018-03-11,2
107,1342,874,275,1,2023-05-12,156.8,156.8,Lina Najjar,35,Saudi Arabia,2021-07-25,Table_874,Furniture,156.8,Noor Barakat,Sales,2023-12-09,5
108,984,547,20,2,2023-01-28,32.64,65.28,Lina Omari,34,UAE,2023-10-18,Burger_547,Food,32.64,Lina Omari,Sales,2021-02-16,1
109,1673,871,161,3,2022-11-10,836.02,2508.06,Hassan Barakat,31,Jordan,2021-03-24,Sofa_871,Furniture,836.02,Noor Al-Smadi,HR,2024-06-04,11
110,836,103,209,2,2023-03-30,1762.86,3525.72,Ali Hammad,37,Jordan,2021-01-25,Smartphone_103,Electronics,1762.86,Zain Al-Smadi,Sales,2020-01-31,3
111,1361,161,94,3,2023-08-22,1486.89,4460.67,Hassan Masri,34,Saudi Arabia,2023-09-17,Smartphone_161,Electronics,1486.89,Sara Qasem,Sales,2019-10-20,8
112,1297,200,82,3,2021-02-25,1398.81,4196.43,Ali Khoury,44,Jordan,2023-02-23,Camera_200,Electronics,1398.81,Rania Al-Momani,Support,2024-05-21,2
113,117,160,104,4,2022-12-09,910.55,3642.2,Khaled Masri,34,Saudi Arabia,2023-04-07,Headphones_160,Electronics,910.55,Hassan Shami,IT,2022-04-08,12
114,818,695,237,4,2023-07-29,37.6,150.4,Mona Khoury,43,Saudi Arabia,2020-09-22,Children Book_695,Books,37.6,Lina Rabie,Support,2015-09-03,7
115,368,865,260,4,2023-03-19,141.22,564.88,Omar Al-Momani,35,Saudi Arabia,2020-11-25,Wardrobe_865,Furniture,141.22,Rania Saleh,Management,2024-03-27,3
116,1118,136,160,2,2022-11-19,1954.97,3909.94,Tariq Al-Momani,34,Saudi Arabia,2020-07-05,Headphones_136,Electronics,1954.97,Zain Hammad,Sales,2015-11-05,11
117,168,942,61,4,2021-09-03,200.0,800.0,Ahmad Qasem,53,Jordan,2021-02-12,Table_942,Furniture,200.0,Aya Najjar,Management,2021-04-21,9
118,954,398,38,4,2021-09-17,186.01,744.04,Huda Al-Momani,49,Egypt,2021-11-08,Jeans_398,Clothing,186.01,Majed Hammad,Management,2023-09-28,9
119,1739,738,118,2,2022-07-20,58.65,117.3,Yousef Shami,44,Egypt,2021-04-16,Novel_738,Books,58.65,Sara Rabie,IT,2020-03-02,7
120,1365,392,168,3,2022-01-29,37.93,113.79,Khaled Al-Smadi,46,Jordan,2023-01-31,Scarf_392,Clothing,37.93,Mona Qasem,Sales,2018-05-02,1
121,661,755,69,3,2021-11-13,70.34,211.02,Majed Najjar,29,Saudi Arabia,2020-01-18,Children Book_755,Books,70.34,Aya Haddad,HR,2021-08-17,11
122,1938,106,83,1,2022-10-17,1228.95,1228.95,Tariq Masri,39,UAE,2020-05-11,Camera_106,Electronics,1228.95,Hassan Al-Smadi,Sales,2019-02-09,10
123,695,583,235,1,2023-09-09,20.26,20.26,Sara Darwish,40,Saudi Arabia,2020-08-09,Pizza_583,Food,20.26,Mona Rabie,Support,2023-02-24,9
124,925,589,42,4,2022-12-19,36.94,147.76,Farah Qasem,46,Saudi Arabia,2023-12-06,Pasta_589,Food,36.94,Majed Haddad,IT,2020-07-06,12
125,152,54,99,2,2022-01-07,1596.63,3193.26,Zain Shami,38,UAE,2023-06-11,Monitor_54,Electronics,1596.63,Huda Omari,IT,2015-08-20,1
126,586,277,130,3,2023-07-14,115.7,347.1,Sara Khoury,37,Saudi Arabia,2022-04-13,Jeans_277,Clothing,115.7,Ali Ayoub,Management,2018-07-20,7
127,1901,111,28,2,2023-04-12,1289.69,2579.38,Farah Barakat,41,Jordan,2023-02-19,Tablet_111,Electronics,1289.69,Noor Saleh,Sales,2018-07-12,4
128,913,224,233,1,2022-12-03,42.65,42.65,Rania Darwish,37,Jordan,2023-11-05,T-Shirt_224,Clothing,42.65,Yousef Omari,Sales,2019-11-12,12
129,274,75,229,4,2021-05-05,462.52,1850.08,Zain Al-Momani,35,Jordan,2022-06-13,Smartphone_75,Electronics,462.52,Majed Al-Momani,Sales,2024-01-27,5
130,1578,506,117,1,2022-07-02,43.49,43.49,Rami Rabie,46,Saudi Arabia,2021-11-03,Salad_506,Food,43.49,Farah Najjar,HR,2015-06-03,7
131,496,14,107,1,2023-06-07,1930.23,1930.23,Lina Darwish,40,Saudi Arabia,2020-06-09,Tablet_14,Electronics,1930.23,Tariq Omari,Sales,2015-12-14,6
132,1748,971,295,3,2021-08-31,114.34,343.02,Mona Ayoub,40,Jordan,2021-03-07,Sofa_971,Furniture,114.34,Sara Shami,Sales,2021-03-05,8
133,101,770,160,2,2023-05-29,10.83,21.66,Sara Darwish,20,Saudi Arabia,2020-07-12,History Book_770,Books,10.83,Zain Hammad,Sales,2015-11-05,5
134,557,482,4,3,2022-03-30,31.56,94.68,Omar Hammad,30,Jordan,2023-11-15,Salad_482,Food,31.56,Zain Khoury,Sales,2020-10-30,3
135,1106,189,149,3,2022-02-02,300.87,902.61,Lina Al-Smadi,24,Jordan,2021-10-09,Smartphone_189,Electronics,300.87,Ahmad Omari,Support,2018-10-22,2
136,1553,364,234,1,2021-01-09,55.94,55.94,Yousef Masri,26,Saudi Arabia,2023-01-30,Jeans_364,Clothing,55.94,Yousef Khoury,Sales,2021-05-07,1
137,73,239,254,4,2023-07-21,48.86,195.44,Tariq Qasem,34,UAE,2020-07-04,Shoes_239,Clothing,48.86,Ali Al-Momani,Sales,2015-09-21,7
138,1038,401,248,1,2023-09-11,20.61,20.61,Rami Omari,20,Jordan,2022-09-26,Pizza_401,Food,20.61,Aya Al-Momani,Sales,2018-05-14,9
139,1457,846,70,2,2022-02-07,494.19,988.38,Rania Masri,42,Jordan,2020-06-28,Desk_846,Furniture,494.19,Omar Omari,HR,2019-03-28,2
140,157,985,203,4,2023-08-08,808.92,3235.68,Salma Khoury,53,UAE,2021-08-27,Table_985,Furniture,808.92,Huda Barakat,Sales,2017-03-30,8
141,735,304,148,3,2023-07-29,198.81,596.43,Yousef Hammad,45,Egypt,2023-12-31,Jeans_304,Clothing,198.81,Rami Hammad,HR,2022-06-26,7
142,132,91,221,2,2021-09-19,819.45,1638.9,Lina Al-Momani,35,Saudi Arabia,2020-04-13,Tablet_91,Electronics,819.45,Yousef Haddad,IT,2017-05-22,9
143,1362,392,186,2,2021-11-05,37.93,75.86,Majed Al-Smadi,40,Jordan,2021-09-08,Scarf_392,Clothing,37.93,Rania Omari,Management,2020-12-15,11
144,1019,184,48,2,2021-04-03,760.84,1521.68,Tariq Al-Momani,31,Saudi Arabia,2020-04-30,Headphones_184,Electronics,760.84,Noor Khoury,IT,2020-06-19,4
145,1428,17,263,2,2023-08-17,409.28,818.56,Omar Khoury,23,Egypt,2022-11-18,Headphones_17,Electronics,409.28,Sara Rabie,Sales,2016-10-19,8
146,1400,965,296,1,2023-04-23,545.76,545.76,Zain Shami,28,Saudi Arabia,2022-07-01,Bed_965,Furniture,545.76,Omar Haddad,Sales,2016-12-21,4
147,1912,12,292,2,2023-02-14,1213.7,2427.4,Noor Qasem,57,Saudi Arabia,2020-08-31,Headphones_12,Electronics,1213.7,Huda Al-Smadi,Sales,2024-01-05,2
148,559,166,172,1,2021-08-30,1837.92,1837.92,Zain Al-Smadi,38,UAE,2020-04-10,Printer_166,Electronics,1837.92,Noor Al-Momani,Management,2017-07-14,8
149,107,146,31,4,2021-11-01,361.2,1444.8,Zain Barakat,53,UAE,2020-05-06,Printer_146,Electronics,361.2,Yousef Al-Momani,Management,2019-12-18,11
150,1644,282,170,2,2021-08-04,154.3,308.6,Ahmad Masri,39,Egypt,2023-04-22,Dress_282,Clothing,154.3,Aya Ayoub,Management,2019-07-05,8
151,265,991,44,1,2023-05-31,518.82,518.82,Aya Saleh,32,Saudi Arabia,2022-03-21,Chair_991,Furniture,518.82,Rami Barakat,Sales,2016-07-04,5
152,1229,549,43,2,2023-07-01,27.4,54.8,Lina Saleh,44,Egypt,2023-12-07,Juice_549,Food,27.4,Hassan Haddad,Support,2019-10-31,7
153,1103,582,134,4,2021-06-14,17.62,70.48,Noor Saleh,55,UAE,2020-06-29,Burger_582,Food,17.62,Tariq Barakat,Sales,2018-08-13,6
154,155,169,219,3,2023-07-27,1157.5,3472.5,Ali Haddad,37,Jordan,2021-05-18,Monitor_169,Electronics,1157.5,Lina Rabie,HR,2021-06-20,7
155,1807,847,86,4,2022-03-26,225.95,903.8,Rania Haddad,37,Saudi Arabia,2022-02-28,Table_847,Furniture,225.95,Noor Al-Momani,HR,2023-04-28,3
156,988,170,251,3,2022-10-09,943.23,2829.69,Mona Khoury,43,Jordan,2020-07-13,Tablet_170,Electronics,943.23,Ahmad Darwish,Sales,2019-08-08,10
157,997,765,265,1,2021-11-21,37.91,37.91,Farah Najjar,52,Egypt,2022-06-15,History Book_765,Books,37.91,Noor Haddad,Sales,2022-09-14,11
158,247,346,11,4,2023-06-20,110.33,441.32,Ali Ayoub,30,Saudi Arabia,2020-09-24,Dress_346,Clothing,110.33,Rania Rabie,Management,2022-06-04,6
159,531,499,80,1,2023-04-12,7.31,7.31,Rami Al-Smadi,41,Jordan,2023-02-26,Juice_499,Food,7.31,Ahmad Rabie,Support,2015-07-04,4
160,858,460,109,4,2023-02-25,28.64,114.56,Rania Omari,39,Egypt,2024-01-30,Chocolate_460,Food,28.64,Tariq Khoury,HR,2015-09-26,2
